galaxy,upsilon_disk,upsilon_disk_lo,upsilon_disk_hi,upsilon_bulge,upsilon_bulge_lo,upsilon_bulge_hi,a,a_lo,a_hi,b_kpc,b_kpc_lo,b_kpc_hi,gamma,gamma_lo,gamma_hi,chi2_reduced,n_data,acceptance_fraction
NGC5985,0.40301466396558044,0.3220923909713351,0.48666736143452827,0.6434389951179237,0.5121598553245473,0.8021674044769819,8940.705181366688,2507.2921067508632,280877.5019706914,3.8886240274649087,0.9721806673713842,7.771183277005449,1.2230586682731763,1.07236170432826,1.4917016775727756,13.08868834166832,33,0.3493125
NGC6195,0.4619390561188006,0.3815374574583708,0.5585194395747852,0.7479452006689414,0.717803507992096,0.7752582883782799,33.693236788255774,8.95287667104759,83.17936836979501,54.04127649689325,29.945753922612948,351.9078472565103,0.5396202088810312,0.13134489533167876,1.2236615441291998,1.9140259139900064,23,0.31920312500000003
NGC6503,0.37836488686392394,0.31180718109436856,0.4541386057997443,0.6866237809804003,0.5543628281744881,0.8686668710204458,2258.752602994843,1021.0636328942738,7297.046511448729,2.768998450153991,1.354833093910556,4.352154854869223,0.7776979755353406,0.6075280522053,0.905085907898091,1.6146864912122392,31,0.3909375
NGC6674,0.5258586904770453,0.4274962681065848,0.6157027360899909,0.744283354728465,0.5765088405901688,0.946493608221022,283969.6996744737,40147.70660545582,12984110.494609674,0.8820798843760834,0.11098290305834699,1.990145355099323,1.7327315987270997,0.9366525252683549,2.436963731680943,22.517468162035012,15,0.24846875000000002
NGC6946,0.5010497191452524,0.42476181510226624,0.5778261300699931,0.6016080743174255,0.5452514107435905,0.6598519023709718,375.78266660388806,172.30187432311394,627.3390832294955,9.02060596780695,7.325393037210736,13.593634202262361,0.9840169820846464,0.7754502605585623,1.1992504366030594,1.523251812996006,58,0.44396875
NGC7331,0.34422285576992506,0.28745459727785744,0.3698457508457081,0.5765991767274604,0.4406186978206729,0.7234655608056574,1295.4573582435528,415.1994688284911,25457.18641151459,4.424771109362198,0.48803928017583853,13.064291718248324,0.36310943366226506,0.15415604949678396,1.7106676844831752,11.335323606021442,36,0.189921875
NGC7793,0.8383602097413286,0.7907560550286921,0.8746918570993502,0.69903910022064,0.560226899883386,0.8671504098564685,174.98433881692515,102.32751882942723,281.72802769633853,6.559081195162354,5.974212414077143,7.021539550280301,2.631221118831051,2.107172254924334,2.848528371664173,0.4297651875077227,46,0.401109375
NGC7814,0.5093148572434263,0.40397688273668203,0.6401235748512875,0.5536664063600907,0.48651688617006017,0.614441803360108,2692.6149089550418,1146.3858793049912,12111.903920825245,4.296277313205243,1.5561546706242109,7.425519264191676,0.6779415048365534,0.43201605329296616,0.9542428301481561,0.46386884063634226,18,0.36265625
UGC00128,0.5087248739639625,0.40829358827793405,0.6257241576243021,0.7165217377615369,0.5629022545436189,0.8854371986075181,388.82304724214976,312.6162671737767,540.1850996301416,7.76283874044359,6.175638622032665,9.030559130365374,0.8200563918147157,0.7151853760879725,0.9101618020153255,3.7647626449758254,22,0.461484375
UGC00191,0.49115261108073227,0.38946565430003344,0.6195866719213721,0.7051488965291584,0.5630296250095467,0.8832069413833388,985.3153083494232,851.9015773991389,1113.3254033635747,3.1039381678813,2.882046061559612,3.3147220031923954,0.9239227729676804,0.7498594085574554,1.101576968738129,2.67651181784022,9,0.53203125
UGC00731,0.5085184293118794,0.3991214869366314,0.6426237567224918,0.6905426010519968,0.5470841238238333,0.8792705957149025,661.5481295985851,531.0116288923584,1219.0543560598103,3.2418281400876454,1.9270302239291364,3.8600639927621256,0.740678341173633,0.4541912897773145,0.9886594741293891,0.28188300127648547,12,0.46784375
UGC01230,0.5048166100945745,0.40166361304259346,0.6347375226372411,0.7071443942580695,0.5655233262296849,0.8865519523925497,464.79986926052425,340.2016658988281,718.2895055750837,7.07522291219482,5.414910355461697,8.373665881956741,1.592340988854827,1.2148943648125812,1.970322342678743,0.18129045083788972,11,0.5194062500000001
UGC01281,0.5000119538785879,0.4995269673585734,0.5002942762941726,0.6998324156864882,0.6989468584392147,0.7005095479477993,1112.6949219362125,1111.3829806899473,1113.2727656277407,1.9196559649145768,1.9174573174691305,1.9216364882378658,0.9999687046591919,0.9991824493476811,1.0010608338763585,3.069242821989973,25,0.0
UGC02487,0.6209786438442696,0.47648524452666835,0.7908386431631167,0.7828999117394276,0.6308916615089807,0.9529108403935737,7936.549327552068,1070.7953246325799,35150.600614001014,7.155997758266176,3.9167050557026664,14.007615323834411,1.7892798290170007,1.3841210222293556,2.6006635047685447,40.23636524570724,17,0.302515625
UGC02885,0.5087309699568345,0.40202979255358084,0.6523842196376345,0.8786903508842913,0.767754554312466,1.021703231400671,488.954268505572,135.58939441592986,1960.79250414748,10.446856677908384,3.4941652233017577,25.029218871717543,0.35021098270431283,0.18322454908752128,0.57320246659579,1.4723130747185584,19,0.380125
UGC03205,0.2776477016569281,0.23963692473623532,0.3173716064068863,0.5584246449364714,0.48401483235365683,0.6383782170216324,5705.8017415942095,4521.585304755041,7497.366108997345,3.86186359627138,3.2886915920878685,4.406159619062381,1.2402544165941243,1.1507554840957313,1.3227336185488998,1.4642555125387464,48,0.5157031249999999
UGC03546,0.5283313970390674,0.4488370562939749,0.6035608411803662,0.49323844860817717,0.4359806151240711,0.5357498289208014,279.798040796995,211.96294547281363,596.590259518177,14.216959089524606,9.100602037985453,16.176874956101578,1.3489491242317755,0.8580506275293849,1.6150112130378087,0.6177749993799119,30,0.35020312499999995
UGC04278,0.5498687319900043,0.42683500545798625,0.726033108268401,0.7004828291581549,0.5434683394040901,0.8796619316666068,46.13875425113307,8.266328241950617,136.37342756195702,60.93092945692367,16.664585628940223,384.3802140402444,0.2648863406588135,0.10276243535993455,0.5455167527713456,0.898714636612054,25,0.36017187500000003
UGC04325,0.5112081906062922,0.4068766873977438,0.649711351391791,0.6986487864244193,0.561946263136296,0.8722241035378614,2365.6346884564605,2091.958913224119,2786.978313007578,2.6043401536740096,2.354525375604911,2.7738756535442,1.5677532961428462,1.255448588789601,1.7855093006742098,0.33780714406118256,8,0.50628125
UGC04499,0.4914020250535363,0.39423387577359154,0.6167863169164045,0.707762895465621,0.559075111208349,0.891987648473514,360.52612932236144,271.2884238129785,515.0112319491799,4.8521734843786435,3.646327668384695,5.6811046546076005,0.9924863466072558,0.524174122494383,1.3991403829092894,0.6080022077327172,9,0.48765625
UGC05005,0.5067573608076305,0.405981429344386,0.6393195758958693,0.6993511817915427,0.5598061192264209,0.875527104008224,57.43362568945913,22.409970577909995,102.38617964101255,17.31125359146112,10.459482712704816,34.54317187299203,0.5463386800684433,0.10455906159462827,1.2842789249309525,0.19988285325625885,11,0.44060937499999997
UGC05414,0.46948215362064616,0.36619826077815937,0.5945853420578826,0.7005590470936032,0.5432917396793666,0.9025823276624882,39.6376322832981,1.2481286223526784,1952.4543589267637,30.64684018021451,0.6547268694272076,1018.3746486275198,0.01,0.01,0.01,4.005882031528586,6,0.49487499999999995
UGC05721,0.5923766625436457,0.4657861936659456,0.7640113327035619,0.7042806667135062,0.5626597886613268,0.8715944834727272,4155.778864135467,2970.089713128409,5891.704256195906,1.7498029899083736,1.4151640026664267,2.131690837617988,1.314954569507752,1.0796610775944122,1.5735047005305618,0.5479507009653447,23,0.521578125
UGC05750,0.5108784809813939,0.4041549605469228,0.6421397385405841,0.6962464098837323,0.5568877102172275,0.8756069827430197,82.29473518732848,62.66580197973408,100.66800231507435,11.223922503785698,9.238081830062661,14.344612765476493,1.2671922708907357,0.6997171559721846,1.8222653222050722,0.08815976391768075,11,0.518
UGC06399,0.5135325301367778,0.40762683903720726,0.6637424885866078,0.7032438259917914,0.5604840691507466,0.8825594032516079,424.1234408835169,307.12880286675664,681.8213807169863,5.622868799882825,3.647669660466529,6.929874610047768,0.8847375424447912,0.22113598714733207,1.3872938634231944,0.20262269288163604,9,0.44251562499999997
UGC06446,0.49721034387739027,0.3991768368601593,0.635053602411735,0.685883781586792,0.5478230436287181,0.8687678009605199,3227.330631772203,1466.0965450838369,12687.574195297675,1.3724405971343843,0.47204382132580414,2.523930802287676,0.5075477063555531,0.2651657207213408,0.8026253549992897,0.28517563391876405,17,0.41070312500000006
UGC06614,0.49845710148481437,0.39820035171447554,0.6229609479231855,0.6216627795041082,0.5404525421353626,0.7184834847761429,52.936828867024786,31.693396416790915,117.33250978554963,37.24831942387656,18.052851245148158,51.45727665866587,0.8188693811104396,0.1500777886077626,1.5435552428006551,0.19299161264917222,13,0.42203124999999997
UGC06667,0.5031098345065367,0.400149044971907,0.6298321862166405,0.700610072521259,0.5590727480593864,0.8848428985527147,549.528261074338,476.4987792371503,632.3264993439614,5.099311552489594,4.607723493140354,5.58924435787412,1.0178437860832537,0.7014035247011335,1.2726911719754932,0.20435863826162518,9,0.5320625
UGC06786,0.3164067917877132,0.2679092658229246,0.3710161687911134,0.6034988219176128,0.5213522784439486,0.6804477522861327,4069.5162914299603,2683.9886131287285,7993.299185380945,3.8465833437985197,2.382827746832852,5.077816013597869,0.6854532466924478,0.5278607584139889,0.8022183681315576,0.7636497597560695,45,0.385984375
UGC06917,0.5071671480870262,0.4007867008941207,0.6212679429376434,0.7091838233456113,0.565618074446104,0.8899710984393453,458.02699347778423,371.89958304628414,621.9675079956871,6.475038887833349,5.019741962138997,7.199231063515647,1.1103482795653354,0.5764138814071652,1.4983015353937965,0.3584644151714529,11,0.470421875
UGC06930,0.5031702230588458,0.40043664485734076,0.6267622579173351,0.6969428155236161,0.5585215157986746,0.8701130034472646,10900.085531319863,479.3322484031438,14122856.673043633,0.717867610357943,0.038358839608328144,6.036642253520072,0.832474059619573,0.33425983275109544,1.6033696875518724,26.46297629878553,10,0.3105625
UGC06983,0.4855188140364182,0.38589992870130857,0.6061561055444711,0.7179304646121677,0.5658113464735999,0.891691761203314,7657.32966178571,809.8831894032315,1322118.3107868119,1.0344574516487466,0.08342529741241929,4.735509321143572,0.6391422193436669,0.33198701138096387,1.129137858095448,7.738878290916175,17,0.327125
UGC07125,0.5257227810478274,0.4201667649686734,0.6589820047264908,0.7106347290663046,0.5606315609913473,0.9021012262754003,80.08945014854214,57.25588873217954,114.61153013352254,8.368925358108672,6.719077858849178,9.94138594975706,1.231773506780995,0.8758474230029789,1.5555959947990945,0.36510628308766196,13,0.498390625
UGC07151,0.536254187788011,0.4221094043563194,0.6772227602488436,0.6938995377545359,0.558126482309036,0.8637885880291476,1007.8096804045025,755.4074139048541,1291.7859486274838,2.7886131751407106,2.4679479538835043,3.1474137843979157,1.3245975053234382,1.0004861854529072,1.6051945937928618,1.0701235506691826,11,0.526421875
UGC07323,0.5982260411706676,0.44244317075363127,0.772793358062262,0.7252916530032119,0.5737553994080666,0.9161751467893873,112.03895246670379,22.227882033483624,251.46972675042431,26.855290487079753,8.081185516748675,384.2831538943196,0.5451483026454766,0.15846374342008718,1.4266615945590595,6.160024979404184,10,0.32799999999999996
UGC07399,0.48602776035527967,0.38943136915678384,0.6151597043279446,0.7019024580342746,0.5652764500473579,0.8840861346423399,3728.110372472496,2713.4817234662405,16433.63560360861,1.9438291495839068,0.5991447989479181,2.5407517481777373,0.6352421987923029,0.272977586458726,0.965165310766648,0.9739142505329171,10,0.38453125
UGC07524,0.5248260199818139,0.41842411226784715,0.6634404792750492,0.6938013088352658,0.5566189163475965,0.8684914965213466,308.4473748157492,269.5809916228186,353.6072879875588,5.456441607161287,4.929380923777065,5.952692360152065,0.8053866623003676,0.6369590747837736,0.9858448239257841,0.3233033073437225,31,0.54046875
UGC07603,0.49984367683591185,0.3995050172986455,0.6269386045040362,0.6972077704985771,0.5515183283000072,0.8687040999169928,1202.8270779592847,1010.9699607333152,1423.6443684349083,2.554924838861291,2.31464842776222,2.815997585400217,1.2426122750647581,0.9743720572211048,1.5065955029238665,0.12787631405930938,12,0.54478125
UGC07608,0.500572796313251,0.3934732364204619,0.6317591256480994,0.698778873016136,0.5555005057427135,0.8825713272045617,333.1945075505742,67.08274718658555,647.9379110732059,5.80436753864577,3.397770745363396,32.6321169357592,0.43220219103763613,0.09085868889656115,1.2129230591563527,0.5788481814466223,8,0.405203125
UGC08286,0.4730549921873153,0.3809327093389847,0.590547651186327,0.7034201614703831,0.5607999674141462,0.8914607019247209,1720.135445297045,1434.9277821634107,2241.833161665051,2.560993225547489,2.096947769006725,2.876501632330571,0.954773403740699,0.7860250565917649,1.0974913204484864,0.9885357727147711,17,0.509671875
UGC08490,0.5136043051830856,0.4130185932627611,0.6448966702093849,0.7042102114667842,0.5581826258074806,0.8897226454151118,4125.3525981644725,2979.8802094141097,6730.819974717945,1.488263243631532,1.046918147947027,1.8394628613541046,0.8655582859664441,0.6753768757687771,1.0148088957342942,0.13865855850243616,30,0.48587499999999995
UGC08550,0.5179540487655897,0.41025960801500305,0.6577800514137129,0.7037092850369426,0.5515098536972257,0.8801989592619699,2271.723675022863,1175.258571362415,9839.553464697854,1.2320769636920752,0.4012714698640198,2.043505400520535,0.553847756462849,0.27908963282608285,0.8762806450912284,1.051727207684984,11,0.404625
UGC09133,0.3571804978597962,0.29644776600877865,0.42848366859209625,0.700587528027718,0.6805446114066699,0.7206948314448808,628.4428703981396,525.7113919654131,722.6859044493009,12.983026270787693,12.36563037889238,13.752526668926988,1.3314155036726671,1.2517859589124727,1.3976642260884238,6.966993375891955,68,0.5102187499999999
UGC10310,0.5264226684568601,0.41575181243486503,0.662061352970026,0.7074052146933387,0.5587395050492087,0.8881595520007461,1823.4980657129404,495.2048787453215,913776.9302447552,1.512586187365082,0.06327041220867176,4.133036319997146,0.8913168532399527,0.282705501755608,1.8594627207210173,9.992427741389806,7,0.352890625
UGC11455,0.3169681281909048,0.2678957584040583,0.38177036340173004,0.6946602910803187,0.5514233476592445,0.8610904927735898,604.7247881594895,439.6631901379117,776.6412322411895,13.35256112429942,11.958448736423419,15.424937780493345,1.0214789213916162,0.8869996077764557,1.1523465594920446,2.010857786247241,36,0.513109375
UGC11820,0.5458603001570398,0.4375790740328885,0.6841545415584811,0.6840421077045781,0.5414524359965911,0.8586287280651809,955.7948611905285,493.21066606095565,2376.8391004446003,1.618668921051213,0.6928602318899559,2.883229917676516,0.17482345555641154,0.0838160069683146,0.28856759662426956,1.910239761248647,10,0.38179687500000004
UGC11914,0.45185605711564014,0.34390632279049976,0.576366049519075,0.9940854664824414,0.8735836228172889,1.0231739685348047,469.5179923840789,82.19827573011038,46452.5754027165,20.275131017423575,0.6217203076057294,154.79757245604102,0.16786826957391843,0.04536954602543379,0.5244394990335823,1.0972482544084312,65,0.207796875
UGC12632,0.5071967445814479,0.4061074601366917,0.6454212713162679,0.6835285164859345,0.5493706879153764,0.8650683368951844,448.23317562349354,356.4736240860828,752.6333532687967,4.14371411354874,2.686604052856301,4.900593455964722,0.9032564685380611,0.5624029327070568,1.1760812901292423,0.09545413002308427,15,0.46478125
UGC12732,0.5037603051079467,0.40053008421229275,0.6344141910287178,0.6884011338944124,0.5521761558606391,0.8643225653833937,1091.2785358567685,509.4331111364187,3633.5621548118907,2.14180684916152,0.7425235488724845,4.089054665490271,0.3188502725663098,0.14096508085245713,0.5490299854348015,0.21329565882979892,16,0.386765625
UGCA442,0.494552243111523,0.3982284216041742,0.6299132011564692,0.6989479057018619,0.5611868777223046,0.877114215403395,299.59902276131083,250.97359735140014,368.21626130116175,4.474797651494224,3.7694106910680274,5.043566009376894,0.7399032424348098,0.46968931443925127,1.0427780535345652,1.4457916572393714,8,0.5030156250000001
